state,count_age_47.0,count_gender_male,count_armed_gun,count_race_White,count_flee_not,count_body_camera_False,count_signs_of_mental_illness_False,count_age_53.0,count_race_Asian,count_signs_of_mental_illness_True,count_age_23.0,count_armed_unarmed,count_race_Hispanic,count_age_18.0,count_age_39.0,count_armed_other,count_age_32.0,count_armed_replica,count_age_22.0,count_flee_car,count_age_25.0,count_armed_knife,count_race_Black,count_age_34.0,count_gender_female,count_body_camera_True,count_age_35.0,count_age_37.0,count_flee_foot,count_age_30.0,count_age_41.0,count_age_31.0,count_age_49.0,count_age_36.0,count_age_42.0,count_armed_blunt_object,count_age_28.0,count_armed_nan,count_age_33.0,count_age_71.0,count_age_29.0,count_age_43.0,count_age_68.0,count_age_75.0,count_age_24.0,count_age_27.0,count_age_48.0,count_race_Other,count_age_21.0,count_age_67.0,count_age_54.0,count_age_19.0,count_age_17.0,count_age_61.0,count_age_56.0,count_age_40.0,count_age_26.0,count_age_45.0,count_age_59.0,count_race_Unknown,count_armed_vehicle,count_race_Native American,count_age_38.0,count_age_51.0,count_age_74.0,count_age_46.0,count_age_57.0,count_age_16.0,count_age_50.0,count_age_20.0,count_age_nan,count_age_77.0,count_age_58.0,count_age_64.0,count_flee_other,count_age_52.0,count_age_63.0,count_age_60.0,count_age_44.0,count_armed_undetermined,count_age_66.0,count_age_83.0,count_age_72.0,count_age_76.0,count_age_62.0,count_age_55.0,count_age_69.0,count_age_86.0,"count_armed_other,gun",count_age_15.0,count_age_65.0,count_armed_unknown,count_age_6.0,count_flee_nan,"count_armed_blunt_object,blunt_object","count_armed_gun,knife",count_age_12.0,count_age_70.0,count_age_80.0,count_age_14.0,count_age_82.0,count_age_13.0,count_age_73.0,"count_armed_knife,blunt_object",count_age_91.0,count_age_79.0,count_gender_nan,"count_armed_vehicle,gun",count_age_81.0,count_age_78.0,count_age_84.0,count_age_89.0,"count_armed_gun,vehicle","count_armed_replica,vehicle","count_armed_blunt_object,knife","count_armed_knife,vehicle","count_armed_vehicle,knife,other",count_age_88.0,"count_race_White,Black,Native American","count_armed_knife,knife","count_race_Native American,Hispanic",count_age_8.0,count_age_92.0,"count_race_White,Hispanic",count_age_2.0,"count_armed_replica,knife","count_armed_other,blunt_object,knife","count_race_Black,Hispanic","count_race_White,Black",count_gender_non-binary,"count_armed_other,knife",count_age_85.0,count_age_4.0,"count_armed_vehicle,knife","count_armed_gun,other","count_armed_blunt_object,other"
AL,5,179,129,105,92,162,149,2,0,40,2,4,5,3,6,2,12,4,0,36,0,17,53,7,10,27,11,3,21,1,5,3,3,3,2,4,4,0,8,1,3,4,2,0,5,6,2,0,4,1,2,1,1,0,5,5,5,5,0,26,5,0,6,1,1,1,4,2,6,3,0,1,2,3,10,1,2,1,3,10,1,0,0,0,2,1,0,0,0,2,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,0,63,47,35,35,59,58,0,3,8,4,4,0,0,1,3,2,3,0,12,2,8,4,6,3,7,4,1,9,1,1,1,2,3,1,1,2,0,3,0,0,1,0,0,0,3,2,0,3,1,1,1,0,0,1,3,2,1,1,12,0,12,3,0,0,0,1,1,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,7,415,250,177,244,362,371,9,0,69,11,26,148,2,11,4,12,15,7,59,15,72,40,18,24,78,10,13,64,16,8,14,4,9,11,13,19,0,13,1,13,12,1,1,10,21,6,0,8,1,2,5,8,4,6,9,18,12,0,59,10,16,6,9,1,6,1,0,2,8,0,0,2,1,18,4,3,1,11,22,0,0,0,1,0,3,2,0,0,1,1,7,0,0,0,3,0,3,1,1,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,4,133,83,80,79,125,116,3,2,20,2,4,2,1,3,1,2,3,4,19,1,23,32,4,3,11,8,6,15,5,4,6,4,6,4,2,0,0,6,2,1,1,1,0,3,2,1,0,1,0,2,0,4,1,3,6,2,2,0,20,7,0,1,0,0,3,1,1,4,1,0,0,1,1,3,2,0,0,2,7,2,1,0,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,21,1290,590,338,763,1062,1089,11,52,268,30,102,534,23,38,16,57,85,27,202,31,333,201,50,66,295,42,30,200,57,32,41,14,42,33,71,35,0,47,1,45,17,1,1,45,48,24,10,30,3,10,20,9,4,14,26,45,30,13,216,48,6,34,11,0,17,6,7,21,22,0,1,10,3,50,12,6,8,18,51,3,0,1,1,6,17,0,1,0,5,6,14,0,0,1,11,0,3,0,2,0,0,2,0,1,0,0,4,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,8,335,237,171,157,298,313,4,5,42,8,17,84,7,11,1,12,7,9,71,10,45,33,8,18,57,12,12,61,7,7,14,5,8,2,2,12,0,14,0,9,2,0,0,7,9,4,0,4,2,3,9,6,3,0,12,8,5,4,56,14,5,9,10,0,7,6,0,4,7,0,0,4,0,18,7,3,1,6,12,3,0,1,0,1,2,0,0,0,0,1,9,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CT,0,31,13,14,18,20,25,2,0,6,0,3,7,1,1,1,0,1,0,8,1,7,8,2,0,11,1,0,2,2,2,1,0,1,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,20,12,9,11,17,17,0,0,4,0,0,1,0,1,0,0,1,1,6,1,1,8,0,1,4,2,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3,3,0,0,2,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,11,600,378,296,379,550,477,10,2,158,10,40,78,8,20,8,19,13,18,97,16,111,191,16,34,85,12,23,63,16,14,15,9,15,11,13,24,0,13,2,19,12,2,0,11,14,11,4,11,3,7,6,4,6,7,14,16,8,14,64,23,0,23,11,0,17,9,5,7,12,0,0,7,3,21,6,4,3,10,17,1,1,1,0,3,9,4,0,0,3,6,8,0,0,0,2,0,0,0,0,2,0,3,0,0,1,0,2,2,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,12,349,231,141,203,338,309,3,3,60,16,23,21,8,12,8,15,9,10,58,13,47,156,8,18,31,15,10,52,8,6,11,3,14,4,7,10,0,11,0,9,8,3,1,7,12,4,0,6,4,3,5,2,2,5,9,13,9,0,48,21,0,5,5,0,1,4,0,3,9,0,1,3,2,16,10,8,4,4,13,1,0,1,2,1,3,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
HI,1,43,17,4,28,34,37,1,27,8,0,4,3,0,1,2,3,2,0,9,1,11,3,2,2,11,2,1,3,4,1,1,0,1,1,0,0,0,4,0,4,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,2,0,1,7,4,0,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,80,50,58,46,71,73,4,1,12,2,2,10,0,2,1,2,2,1,15,0,16,1,5,5,14,1,3,7,0,3,4,1,1,2,0,3,0,4,0,4,0,0,0,2,2,3,0,1,1,3,0,0,0,0,1,2,2,1,12,3,3,2,2,0,1,1,0,4,1,0,0,3,0,6,2,0,1,0,5,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,4,193,132,64,93,159,168,4,0,33,2,10,19,5,4,1,9,4,4,22,8,29,100,6,8,42,5,5,51,5,5,8,2,6,1,6,2,0,6,0,6,4,1,0,10,7,1,0,9,0,1,8,6,1,0,3,11,3,1,18,2,0,6,2,0,2,1,1,2,2,0,0,1,1,7,3,1,0,2,6,2,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
