rank,state,2020_census,percent_of_total
1,CA,39538223,0.1191
2,TX,29145505,0.0874
3,FL,21538187,0.0647
4,NY,20201249,0.0586
5,PA,13002700,0.0386
6,IL,12801989,0.0382
7,OH,11799448,0.0352
8,GA,10711908,0.032
9,NC,10439388,0.0316
10,MI,10077331,0.0301
11,NJ,9288994,0.0268
12,VA,8631393,0.0257
13,WA,7705281,0.0229
14,AZ,7151502,0.0219
15,MA,7029917,0.0209
16,TN,6910840,0.0206
17,IN,6785528,0.0203
18,MD,6177224,0.0185
19,MO,6154913,0.0182
20,WI,5893718,0.0175
21,CO,5773714,0.0174
22,MN,5706494,0.017
23,SC,5118425,0.0155
24,AL,5024279,0.0148
25,LA,4657757,0.014
26,KY,4505836,0.0135
27,OR,4237256,0.0127
28,OK,3959353,0.0119
29,CT,3605944,0.0107
30,UT,3205958,0.0097
31,IA,3271616,0.0095
32,NV,3104614,0.0093
33,AR,3011524,0.0091
34,MS,2961279,0.009
35,KS,2937880,0.0088
36,NM,2117522,0.0063
37,NE,1961504,0.0058
38,ID,1839106,0.0054
39,WV,1793716,0.0054
40,HI,1455271,0.0043
41,NH,1377529,0.0041
42,ME,1362359,0.0041
43,RI,1097379,0.0032
44,MT,1084225,0.0032
45,DE,989948,0.0029
46,SD,886667,0.0027
47,ND,779094,0.0023
48,AK,733391,0.0022
49,VT,643077,0.0019
50,WY,576851,0.0017
